original_file,new_location,type,joinable_guess,ocr_quality_guess,text_characters_extracted
One-Giant-Leap-David-Posamentier-Geoff-Moore-4-26-11.pdf,./sorted_output/Selectable/Not_Joinable/One-Giant-Leap-David-Posamentier-Geoff-Moore-4-26-11.pdf,Selectable,No,,5768
QUID-PRO-QUO-Deborah-Dean-Davis-Margaret-Oberman.pdf,./sorted_output/Selectable/Not_Joinable/QUID-PRO-QUO-Deborah-Dean-Davis-Margaret-Oberman.pdf,Selectable,No,,5505
Nightmare-Alley-Guillermo-del-Toro-Kim-Morgan-Film-12-1-2021.pdf,./sorted_output/Selectable/Joinable/Nightmare-Alley-Guillermo-del-Toro-Kim-Morgan-Film-12-1-2021.pdf,Selectable,Yes,,6614
The-Way-Between-Jennifer-Lee-01-26-11.pdf,./sorted_output/Selectable/Not_Joinable/The-Way-Between-Jennifer-Lee-01-26-11.pdf,Selectable,No,,4578
The-Darkness-by-Tasha-Huo.pdf,./sorted_output/Selectable/Not_Joinable/The-Darkness-by-Tasha-Huo.pdf,Selectable,No,,4319
MAILMEN-Zimmet-and-Rubin.pdf,./sorted_output/Selectable/Not_Joinable/MAILMEN-Zimmet-and-Rubin.pdf,Selectable,No,,5175
Bride-Hard-2025.pdf,./sorted_output/Selectable/Joinable/Bride-Hard-2025.pdf,Selectable,Yes,,3657
Diamonds-are-a-Girl__s-Best-Friend-Gregg-Rossen-Brian-Sawyer.pdf,./sorted_output/Selectable/Not_Joinable/Diamonds-are-a-Girl__s-Best-Friend-Gregg-Rossen-Brian-Sawyer.pdf,Selectable,No,,4839
Michael-Bay-Explosive-Biopic-Sean-Tidwell-Film.pdf,./sorted_output/Selectable/Not_Joinable/Michael-Bay-Explosive-Biopic-Sean-Tidwell-Film.pdf,Selectable,No,,4410
DIVERSION-by-Chris-Folkens-and-Kate-Gritmon.pdf,./sorted_output/Selectable/Not_Joinable/DIVERSION-by-Chris-Folkens-and-Kate-Gritmon.pdf,Selectable,No,,4930
The-Flintstones-in-Viva-Rock-Vegas-2000.pdf,./sorted_output/OCR/Obscured_OCR/The-Flintstones-in-Viva-Rock-Vegas-2000.pdf,OCR,Unknown,Obscured_OCR,0
Hello-Universe-Michael-Golamco-Film-11-11-2021.pdf,./sorted_output/Selectable/Joinable/Hello-Universe-Michael-Golamco-Film-11-11-2021.pdf,Selectable,Yes,,4952
Tipping-Point-Todd-Stein-March-2011.pdf,./sorted_output/Selectable/Joinable/Tipping-Point-Todd-Stein-March-2011.pdf,Selectable,Yes,,5389
Passing-Rebecca-Hall-Film.pdf,./sorted_output/Selectable/Not_Joinable/Passing-Rebecca-Hall-Film.pdf,Selectable,No,,4779
Zombie-Wedding-9-23-12.pdf,./sorted_output/Selectable/Not_Joinable/Zombie-Wedding-9-23-12.pdf,Selectable,No,,6263
CAT-PEOPLE-Ameni-Rosza.pdf,./sorted_output/Selectable/Not_Joinable/CAT-PEOPLE-Ameni-Rosza.pdf,Selectable,No,,3158
First-Ascent-Colin-Bannon-Film.pdf,./sorted_output/Selectable/Not_Joinable/First-Ascent-Colin-Bannon-Film.pdf,Selectable,No,,6171
NSFW-5-24-11.pdf,./sorted_output/Selectable/Not_Joinable/NSFW-5-24-11.pdf,Selectable,No,,5471
El-Dorado-Gary-Spinelli-02-10-11.pdf,./sorted_output/Selectable/Not_Joinable/El-Dorado-Gary-Spinelli-02-10-11.pdf,Selectable,No,,5010
Pulse-2910-TVM.pdf,./sorted_output/Selectable/Not_Joinable/Pulse-2910-TVM.pdf,Selectable,No,,5307
Trigger-10-5-123.pdf,./sorted_output/Selectable/Not_Joinable/Trigger-10-5-123.pdf,Selectable,No,,4947
The-Fly-II-Frank-Darabont-Jim-Wheat-Ken-What-Film-3-15-1988.pdf,./sorted_output/OCR/Obscured_OCR/The-Fly-II-Frank-Darabont-Jim-Wheat-Ken-What-Film-3-15-1988.pdf,OCR,Unknown,Obscured_OCR,0
